n,probability,1/sqrt(ln(n)),ratio,original_success,inverted_success,both_success,none_success
735,0.32228,0.389253,0.827944,0.32348,0.32108,0,0.35544
736,0.32292,0.389213,0.829674,0.32206,0.32378,0,0.35416
737,0.32259,0.389173,0.828911,0.3243,0.32088,0,0.35482
738,0.32248,0.389133,0.828714,0.31902,0.32594,0,0.35504
739,0.32489,0.389093,0.834992,0.32658,0.3232,0,0.35022
740,0.32219,0.389054,0.828138,0.32116,0.32322,0,0.35562
741,0.32258,0.389014,0.829225,0.3207,0.32446,0,0.35484
742,0.3202,0.388974,0.823191,0.32152,0.31888,0,0.3596
743,0.32343,0.388934,0.83158,0.32236,0.3245,0,0.35314
744,0.3207,0.388895,0.824644,0.3222,0.3192,0,0.3586
745,0.32122,0.388855,0.826065,0.3221,0.32034,0,0.35756
746,0.32227,0.388816,0.82885,0.32292,0.32162,0,0.35546
747,0.32156,0.388777,0.827107,0.31876,0.32436,0,0.35688
748,0.32219,0.388737,0.828812,0.32194,0.32244,0,0.35562
749,0.32132,0.388698,0.826657,0.3185,0.32414,0,0.35736
750,0.32044,0.388659,0.824476,0.32128,0.3196,0,0.35912
751,0.32124,0.38862,0.826618,0.32334,0.31914,0,0.35752
752,0.32318,0.388581,0.831693,0.32332,0.32304,0,0.35364
753,0.32152,0.388542,0.827504,0.3229,0.32014,0,0.35696
754,0.32201,0.388503,0.828849,0.32244,0.32158,0,0.35598
755,0.32186,0.388464,0.828545,0.32042,0.3233,0,0.35628
756,0.32168,0.388425,0.828165,0.31992,0.32344,0,0.35664
757,0.32101,0.388386,0.826522,0.32118,0.32084,0,0.35798
758,0.32028,0.388348,0.824725,0.32116,0.3194,0,0.35944
759,0.31954,0.388309,0.822901,0.31866,0.32042,0,0.36092
760,0.32337,0.388271,0.832847,0.3231,0.32364,0,0.35326
761,0.32072,0.388232,0.826104,0.32028,0.32116,0,0.35856
762,0.3219,0.388194,0.829225,0.32014,0.32366,0,0.3562
763,0.32209,0.388155,0.829796,0.321,0.32318,0,0.35582
764,0.32213,0.388117,0.829981,0.3208,0.32346,0,0.35574
765,0.32056,0.388079,0.826018,0.31978,0.32134,0,0.35888
766,0.32036,0.388041,0.825583,0.32348,0.31724,0,0.35928
767,0.3214,0.388003,0.828345,0.32158,0.32122,0,0.3572
768,0.3226,0.387965,0.831519,0.32414,0.32106,0,0.3548
769,0.31973,0.387927,0.824202,0.32192,0.31754,0,0.36054
770,0.322,0.387889,0.830135,0.32376,0.32024,0,0.356
771,0.32091,0.387851,0.827406,0.31842,0.3234,0,0.35818
772,0.31851,0.387813,0.821298,0.3176,0.31942,0,0.36298
773,0.32185,0.387775,0.829991,0.32104,0.32266,0,0.3563
774,0.32027,0.387738,0.825997,0.31964,0.3209,0,0.35946
775,0.32087,0.3877,0.827625,0.3181,0.32364,0,0.35826
776,0.32149,0.387662,0.829304,0.32388,0.3191,0,0.35702
777,0.32118,0.387625,0.828585,0.32134,0.32102,0,0.35764
778,0.32156,0.387587,0.829645,0.31994,0.32318,0,0.35688
779,0.31941,0.38755,0.824178,0.31974,0.31908,0,0.36118
780,0.32033,0.387513,0.826631,0.3231,0.31756,0,0.35934
781,0.32024,0.387475,0.826478,0.31858,0.3219,0,0.35952
782,0.32006,0.387438,0.826093,0.3213,0.31882,0,0.35988
783,0.31838,0.387401,0.821836,0.31896,0.3178,0,0.36324
784,0.31901,0.387364,0.823541,0.32236,0.31566,0,0.36198
785,0.31982,0.387327,0.825711,0.32078,0.31886,0,0.36036
786,0.32012,0.38729,0.826564,0.32052,0.31972,0,0.35976
787,0.32137,0.387253,0.829871,0.32218,0.32056,0,0.35726
788,0.32157,0.387216,0.830466,0.32114,0.322,0,0.35686
789,0.32049,0.387179,0.827756,0.32246,0.31852,0,0.35902
790,0.32028,0.387143,0.827292,0.31922,0.32134,0,0.35944
791,0.32053,0.387106,0.828016,0.31982,0.32124,0,0.35894
792,0.32109,0.387069,0.829542,0.31942,0.32276,0,0.35782
793,0.31992,0.387033,0.826597,0.32098,0.31886,0,0.36016
