n,probability,1/sqrt(ln(n)),ratio
528,0.33146,0.39939,0.829915
529,0.33408,0.39933,0.836601
530,0.33294,0.39927,0.833872
531,0.33115,0.39921,0.829513
532,0.33163,0.39915,0.83084
533,0.3323,0.39909,0.832643
534,0.33439,0.399031,0.838005
535,0.3326,0.398971,0.833644
536,0.3307,0.398912,0.829005
537,0.33322,0.398853,0.835446
538,0.3357,0.398794,0.841788
539,0.33128,0.398735,0.830827
540,0.33322,0.398676,0.835816
541,0.33285,0.398618,0.83501
542,0.33092,0.398559,0.83029
543,0.33538,0.398501,0.841604
544,0.33191,0.398443,0.833018
545,0.33093,0.398385,0.83068
546,0.33307,0.398327,0.836173
547,0.33167,0.398269,0.832779
548,0.33307,0.398211,0.836415
549,0.33386,0.398154,0.83852
550,0.3312,0.398096,0.83196
551,0.3305,0.398039,0.830321
552,0.3306,0.397982,0.830691
553,0.33327,0.397925,0.83752
554,0.33382,0.397868,0.839022
555,0.33041,0.397811,0.83057
556,0.33317,0.397754,0.837627
557,0.33136,0.397698,0.833195
558,0.3305,0.397642,0.831151
559,0.33241,0.397585,0.836072
560,0.33371,0.397529,0.839461
561,0.33197,0.397473,0.835201
562,0.3318,0.397417,0.834891
563,0.33058,0.397361,0.831938
564,0.33303,0.397306,0.838221
565,0.32999,0.39725,0.830686
566,0.3317,0.397195,0.835107
567,0.33024,0.397139,0.831547
568,0.32797,0.397084,0.825946
569,0.33025,0.397029,0.831803
570,0.32957,0.396974,0.830205
571,0.32901,0.396919,0.828909
572,0.33103,0.396865,0.834113
573,0.32787,0.39681,0.826264
574,0.33146,0.396756,0.835426
575,0.33145,0.396701,0.835515
576,0.33057,0.396647,0.833411
577,0.32737,0.396593,0.825456
578,0.33198,0.396539,0.837194
579,0.33259,0.396485,0.838846
580,0.33066,0.396431,0.834091
581,0.32818,0.396378,0.827948
582,0.33023,0.396324,0.833232
583,0.33035,0.396271,0.833647
584,0.3305,0.396218,0.834138
585,0.32905,0.396164,0.83059
586,0.33047,0.396111,0.834286
587,0.32847,0.396058,0.829348
588,0.32617,0.396005,0.82365
589,0.32956,0.395953,0.832322
590,0.33036,0.3959,0.834453
591,0.33215,0.395847,0.839086
592,0.33272,0.395795,0.840637
593,0.32898,0.395743,0.831298
594,0.32693,0.395691,0.826227
595,0.32837,0.395638,0.829975
596,0.32847,0.395586,0.830337
597,0.33069,0.395535,0.836058
598,0.32993,0.395483,0.834246
599,0.32733,0.395431,0.82778
600,0.33027,0.39538,0.835324
601,0.32884,0.395328,0.831815
602,0.32854,0.395277,0.831164
603,0.32773,0.395226,0.829223
604,0.33016,0.395174,0.835479
605,0.32621,0.395123,0.82559
606,0.32886,0.395072,0.832404
607,0.33086,0.395022,0.837574
608,0.33018,0.394971,0.83596
609,0.32998,0.39492,0.835561
