n,probability,1/sqrt(ln(n)),ratio
1159,0.06879,0.37648,0.182719
1160,0.06904,0.376457,0.183394
1161,0.06771,0.376434,0.179872
1162,0.0671,0.376411,0.178263
1163,0.06634,0.376388,0.176254
1164,0.06744,0.376365,0.179188
1165,0.06777,0.376342,0.180075
1166,0.06774,0.376319,0.180007
1167,0.06836,0.376297,0.181665
1168,0.06694,0.376274,0.177902
1169,0.06822,0.376251,0.181315
1170,0.06713,0.376228,0.178429
1171,0.0684,0.376205,0.181816
1172,0.06752,0.376183,0.179487
1173,0.06705,0.37616,0.178249
1174,0.06629,0.376137,0.176239
1175,0.06676,0.376115,0.177499
1176,0.06779,0.376092,0.180248
1177,0.06818,0.376069,0.181296
1178,0.06634,0.376047,0.176414
1179,0.06666,0.376024,0.177276
1180,0.06721,0.376002,0.178749
1181,0.06753,0.375979,0.179611
1182,0.06839,0.375957,0.181909
1183,0.06796,0.375934,0.180776
1184,0.06621,0.375912,0.176132
1185,0.06729,0.375889,0.179015
1186,0.06648,0.375867,0.176871
1187,0.06653,0.375845,0.177015
1188,0.06813,0.375822,0.181282
1189,0.06819,0.3758,0.181453
1190,0.06797,0.375778,0.180878
1191,0.06827,0.375755,0.181687
1192,0.06755,0.375733,0.179782
1193,0.06627,0.375711,0.176386
1194,0.06777,0.375689,0.180389
1195,0.0674,0.375666,0.179414
1196,0.06719,0.375644,0.178866
1197,0.06603,0.375622,0.175788
1198,0.06747,0.3756,0.179633
1199,0.0662,0.375578,0.176262
1200,0.06844,0.375556,0.182237
1201,0.06672,0.375534,0.177667
1202,0.06802,0.375512,0.181139
1203,0.06733,0.37549,0.179312
1204,0.06862,0.375468,0.182759
1205,0.06781,0.375446,0.180612
1206,0.06695,0.375424,0.178332
1207,0.06531,0.375402,0.173974
1208,0.06716,0.37538,0.178912
1209,0.06769,0.375358,0.180334
1210,0.06707,0.375336,0.178693
1211,0.06658,0.375314,0.177398
1212,0.06637,0.375293,0.176849
1213,0.06645,0.375271,0.177072
1214,0.06689,0.375249,0.178255
1215,0.06549,0.375227,0.174534
1216,0.06736,0.375206,0.179528
1217,0.06661,0.375184,0.17754
1218,0.0666,0.375162,0.177523
1219,0.06723,0.37514,0.179213
1220,0.0668,0.375119,0.178077
1221,0.06744,0.375097,0.179793
1222,0.06617,0.375076,0.176418
1223,0.06637,0.375054,0.176961
1224,0.06721,0.375032,0.179211
1225,0.06662,0.375011,0.177648
1226,0.06667,0.374989,0.177792
1227,0.06692,0.374968,0.178469
1228,0.0681,0.374946,0.181626
1229,0.06573,0.374925,0.175315
1230,0.06767,0.374904,0.1805
1231,0.06737,0.374882,0.17971
1232,0.06688,0.374861,0.178413
1233,0.06726,0.374839,0.179437
1234,0.06787,0.374818,0.181075
1235,0.06688,0.374797,0.178443
1236,0.06636,0.374775,0.177066
1237,0.06627,0.374754,0.176836
1238,0.06774,0.374733,0.180769
1239,0.06662,0.374712,0.17779
1240,0.06736,0.37469,0.179775
1241,0.0678,0.374669,0.18096
1242,0.06602,0.374648,0.176219
1243,0.06626,0.374627,0.176869
1244,0.0655,0.374606,0.17485
1245,0.06641,0.374585,0.17729
1246,0.06755,0.374564,0.180343
1247,0.06734,0.374542,0.179793
1248,0.06681,0.374521,0.178388
1249,0.06663,0.3745,0.177917
1250,0.06654,0.374479,0.177687
1251,0.06654,0.374458,0.177697
1252,0.06615,0.374437,0.176665
1253,0.06608,0.374416,0.176488
1254,0.066,0.374395,0.176284
1255,0.06599,0.374375,0.176267
1256,0.06682,0.374354,0.178494
1257,0.06515,0.374333,0.174043
1258,0.06564,0.374312,0.175362
1259,0.06594,0.374291,0.176173
1260,0.06626,0.37427,0.177038
1261,0.06543,0.374249,0.17483
1262,0.06577,0.374229,0.175748
1263,0.06546,0.374208,0.174929
1264,0.06656,0.374187,0.177879
1265,0.06652,0.374167,0.177782
1266,0.06562,0.374146,0.175386
1267,0.0667,0.374125,0.178283
1268,0.06742,0.374104,0.180217
1269,0.06552,0.374084,0.175148
1270,0.0657,0.374063,0.175639
1271,0.06665,0.374043,0.178188
1272,0.06537,0.374022,0.174776
1273,0.06718,0.374002,0.179625
1274,0.06626,0.373981,0.177175
1275,0.06618,0.37396,0.176971
1276,0.06696,0.37394,0.179066
1277,0.06558,0.373919,0.175385
1278,0.06687,0.373899,0.178845
1279,0.06578,0.373879,0.175939
1280,0.06657,0.373858,0.178062
1281,0.06608,0.373838,0.176761
1282,0.06539,0.373817,0.174925
1283,0.06749,0.373797,0.180553
1284,0.06532,0.373777,0.174757
1285,0.06687,0.373756,0.178913
1286,0.06493,0.373736,0.173732
1287,0.06711,0.373716,0.179575
1288,0.06426,0.373695,0.171958
1289,0.06657,0.373675,0.178149
1290,0.0656,0.373655,0.175563
1291,0.06655,0.373635,0.178115
1292,0.06465,0.373615,0.173039
1293,0.06446,0.373594,0.17254
1294,0.06548,0.373574,0.17528
1295,0.06602,0.373554,0.176735
1296,0.06682,0.373534,0.178886
1297,0.06489,0.373514,0.173728
1298,0.06556,0.373494,0.175532
1299,0.06572,0.373474,0.17597
1300,0.06601,0.373454,0.176755
1301,0.066,0.373434,0.176738
1302,0.06502,0.373414,0.174123
1303,0.06563,0.373394,0.175766
1304,0.06534,0.373374,0.174999
1305,0.06562,0.373354,0.175758
1306,0.06524,0.373334,0.17475
1307,0.06524,0.373314,0.174759
1308,0.06471,0.373294,0.173349
1309,0.06561,0.373274,0.175769
1310,0.06541,0.373254,0.175242
1311,0.06498,0.373234,0.1741
1312,0.06547,0.373215,0.175422
1313,0.06424,0.373195,0.172135
1314,0.06592,0.373175,0.176646
1315,0.0651,0.373155,0.174458
1316,0.06455,0.373136,0.172993
1317,0.06587,0.373116,0.17654
1318,0.06557,0.373096,0.175746
1319,0.06475,0.373076,0.173557
1320,0.06601,0.373057,0.176944
1321,0.06527,0.373037,0.174969
1322,0.06573,0.373017,0.176212
1323,0.06541,0.372998,0.175363
